Kode_RS,Rumah_Sakit,Provinsi,Kab_Kota,Kelas,Penyelenggara_Kategori,Total_SDM_Tercatat,Jumlah_Jenis_SDM_Tersedia,Ada_Data_Alkes,Total_Unit_Alkes_Tercatat,Jumlah_Jenis_Alkes_Tersedia,Jumlah_Layanan_BPJS_Tercatat,Jumlah_Layanan_BPJS_Sudah,Persen_Layanan_BPJS_Sudah
3604035,RS Budiasih,Banten,Kota Serang,C,RS Privat,47.0,11,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
3673048,RS CITRA ARAFIQ SERANG,Banten,Kota Serang,C,RS Privat,Tidak tercatat,0,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
3673010,RS Fatimah,Banten,Kota Serang,D,RS Privat,21.0,8,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
3673035,RS Ibu dan Anak Puri Garcia,Banten,Kota Serang,C,RS Privat,7.0,4,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
3673011,RS Mata Achmad Wardi BWI-DD,Banten,Kota Serang,C,RS Privat,2.0,2,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
3673036,RS Sari Asih Serang,Banten,Kota Serang,B,RS Privat,65.0,14,0,Tidak tercatat,Tidak tercatat,2,1,50.0
3604024,RS Tk. IV Kencana Serang,Banten,Kota Serang,C,RS Publik,39.0,12,0,Tidak tercatat,Tidak tercatat,1,1,100.0
3673004,RS Umum Daerah Banten,Banten,Kota Serang,B,RS Publik,134.0,12,1,11.0,9.0,3,0,0.0
3673012,RS Umum Daerah Kota Serang,Banten,Kota Serang,C,RS Publik,39.0,12,1,4.0,2.0,0,0,Tidak tercatat
3673005,RS Umum Ibunda,Banten,Kota Serang,D,RS Privat,16.0,9,0,Tidak tercatat,Tidak tercatat,1,1,100.0
3671210,Brawijaya Hospital Tangerang,Banten,Kota Tangerang,C,RS Privat,64.0,11,0,Tidak tercatat,Tidak tercatat,1,1,100.0
3671076,RS An-Nisa ,Banten,Kota Tangerang,C,RS Privat,118.0,14,0,Tidak tercatat,Tidak tercatat,2,1,50.0
