Nama_RS_BPJS,Kode_RS,Status_BPJS,Layanan_BPJS,Rumah_Sakit,Provinsi,Kab_Kota,Status_Sudah_BPJS
RSUD dr. Wahidin Sudiro Husodo Kota Mojokerto,3576014,Sudah kerjasama BPJS,Kemo,RSUD dr. Wahidin Sudiro Husodo Kota Mojokerto,Jawa Timur,Kota Mojokerto,1
RSUD dr. Mohamad Soewandhie,3578571,Sudah kerjasama BPJS,Kemo,RS Umum Daerah dr. Mohamad Soewandhie,Jawa Timur,Kota Surabaya,1
RSUD Bangil,3514036,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Bangil,Jawa Timur,Pasuruan,1
RS Siti Khodijah,3515026,Sudah kerjasama BPJS,Kemo,RS Umum Siti Khodijah Muhammadiyah Cabang Sepanjan,Jawa Timur,Sidoarjo,1
RS Universitas Airlangga,3578777,Sudah kerjasama BPJS,Kemo,RS Universitas Airlangga ,Jawa Timur,Kota Surabaya,1
RS Husada Utama,3578560,Sudah kerjasama BPJS,Kemo,RS Husada Utama Surabaya,Jawa Timur,Kota Surabaya,1
RS Primasatya Husada Citra (PHC) Surabaya,3578086,Sudah kerjasama BPJS,Kemo,RS Primasatya Husada Citra (PHC) Surabaya,Jawa Timur,Kota Surabaya,1
RSPAL dr. Ramelan,3578020,Sudah kerjasama BPJS,Kemo,RSPAL dr. Ramelan,Jawa Timur,Kota Surabaya,1
RSUD Dr. Soetomo,3578016,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Dr. Soetomo,Jawa Timur,Kota Surabaya,1
RS Haji Surabaya,3578523,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Haji Provinsi Jawa Timur,Jawa Timur,Kota Surabaya,1
RS Siloam Surabaya,3578443,Sudah kerjasama BPJS,Kemo,RS Umum Siloam Hospitals Surabaya,Jawa Timur,Kota Surabaya,1
RSUD Dr. Iskak Tulungagung,3504012,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Dr. Iskak Tulungagung,Jawa Timur,Tulungagung,1
RSUD dr. H. Moh. Anwar,3529014,Sudah kerjasama BPJS,Kemo,RS Umum Daerah dr. H. Moh. Anwar ,Jawa Timur,Sumenep,1
RSUD Dr. Soebandi,3509010,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Dr. Soebandi,Jawa Timur,Jember,1
